epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,30.8671,2.32844,2.71863,3.12845,0.85069,0.21429,0.3383,0.19038,1.91623,2.45404,2.72023,0.000495266,0.000495266,0.000495266
73,31.2973,2.35363,2.56836,3.02546,1,0.2784,0.40046,0.24462,1.7982,2.37246,2.65003,0.000478762,0.000478762,0.000478762
74,31.7319,2.54669,2.47192,3.19816,1,0.2784,0.40046,0.24462,1.7982,2.37246,2.65003,0.000462259,0.000462259,0.000462259
75,32.1648,2.51641,2.48765,3.15549,1,0.2784,0.40046,0.24462,1.7982,2.37246,2.65003,0.000445756,0.000445756,0.000445756
76,32.6171,2.37674,2.49006,3.04603,0.98729,0.28571,0.41381,0.27051,1.69246,2.48312,2.59172,0.000429253,0.000429253,0.000429253
77,33.0525,2.31528,2.50202,3.09107,0.98729,0.28571,0.41381,0.27051,1.69246,2.48312,2.59172,0.000412749,0.000412749,0.000412749
78,33.4841,2.39659,2.55187,3.13519,0.98729,0.28571,0.41381,0.27051,1.69246,2.48312,2.59172,0.000396246,0.000396246,0.000396246
79,33.9236,2.53258,2.66848,3.05021,0.91894,0.21429,0.4568,0.30661,1.66609,2.57473,2.57572,0.000379743,0.000379743,0.000379743
80,34.353,2.60568,2.45514,3.17946,0.91894,0.21429,0.4568,0.30661,1.66609,2.57473,2.57572,0.000363239,0.000363239,0.000363239
81,34.7964,2.40596,2.50425,3.02186,0.78685,0.5,0.51314,0.3401,1.67124,2.43176,2.56419,0.000346736,0.000346736,0.000346736
82,35.2272,2.49059,2.30752,3.0861,0.78685,0.5,0.51314,0.3401,1.67124,2.43176,2.56419,0.000330233,0.000330233,0.000330233
83,35.6583,2.51718,2.46395,3.07195,0.78685,0.5,0.51314,0.3401,1.67124,2.43176,2.56419,0.000313729,0.000313729,0.000313729
84,36.1073,2.30402,2.43701,3.04457,0.84584,0.5,0.4759,0.31603,1.72734,2.20359,2.58239,0.000297226,0.000297226,0.000297226
85,36.5224,2.39721,2.28866,2.94955,0.84584,0.5,0.4759,0.31603,1.72734,2.20359,2.58239,0.000280723,0.000280723,0.000280723
86,36.9377,2.33795,2.23651,2.95589,0.84584,0.5,0.4759,0.31603,1.72734,2.20359,2.58239,0.00026422,0.00026422,0.00026422
87,37.3732,2.28554,2.3346,3.02721,0.82164,0.42857,0.47314,0.34947,1.80176,2.11809,2.59964,0.000247716,0.000247716,0.000247716
88,37.8117,2.32855,2.43551,3.14818,0.82164,0.42857,0.47314,0.34947,1.80176,2.11809,2.59964,0.000231213,0.000231213,0.000231213
89,38.2653,2.24442,2.30802,2.91744,0.8767,0.43731,0.50224,0.35318,1.82678,2.07439,2.60057,0.00021471,0.00021471,0.00021471
90,38.7119,2.55553,2.44812,3.08944,0.8767,0.43731,0.50224,0.35318,1.82678,2.07439,2.60057,0.000198206,0.000198206,0.000198206
91,39.482,1.88047,3.34391,2.96432,0.8767,0.43731,0.50224,0.35318,1.82678,2.07439,2.60057,0.000181703,0.000181703,0.000181703
92,39.937,1.80035,3.20963,2.68464,1,0.46887,0.5608,0.40546,1.7632,2.09651,2.57401,0.0001652,0.0001652,0.0001652
93,40.3619,1.8338,3.38117,2.89758,1,0.46887,0.5608,0.40546,1.7632,2.09651,2.57401,0.000148696,0.000148696,0.000148696
94,40.7919,1.9271,3.12036,2.81751,1,0.46887,0.5608,0.40546,1.7632,2.09651,2.57401,0.000132193,0.000132193,0.000132193
95,41.2352,1.8729,3.0306,2.86104,1,0.47716,0.62259,0.40519,1.72963,2.09966,2.55411,0.00011569,0.00011569,0.00011569
96,41.6641,1.70881,2.9256,2.74035,1,0.47716,0.62259,0.40519,1.72963,2.09966,2.55411,9.91865e-05,9.91865e-05,9.91865e-05
97,42.0949,1.73797,2.94501,2.65392,1,0.48602,0.58139,0.40986,1.71105,2.1451,2.54773,8.26832e-05,8.26832e-05,8.26832e-05
98,42.5081,1.68077,3.01035,2.76206,1,0.48602,0.58139,0.40986,1.71105,2.1451,2.54773,6.61799e-05,6.61799e-05,6.61799e-05
99,42.9344,1.7775,2.97374,2.69522,1,0.48602,0.58139,0.40986,1.71105,2.1451,2.54773,4.96766e-05,4.96766e-05,4.96766e-05
100,43.3726,1.83373,3.04292,2.68866,0.93187,0.45496,0.73765,0.47489,1.71097,2.15222,2.56815,3.31733e-05,3.31733e-05,3.31733e-05
